111,Markiplier,35200000,20297931219,Gaming,Markiplier,5490,United States,US,Games,119,34,,127329000,31800,,382000,6100000,,2012,May,26,88.2,,14.7,270663028,37.09024,
122,SSSniperWolf,33700000,23492684419,Gaming,SSSniperWolf,3366,United States,US,Entertainment,83,37,,210955000,52700,,632900,10100000,,2013,Jan,20,88.2,,14.7,270663028,37.09024,
147,Dream,31700000,2930015381,Gaming,Dream,116,United States,US,Games,2986,41,,27022000,6800,,81100,1300000,,2014,Feb,8,88.2,,14.7,270663028,37.09024,
266,Preston,24000000,8279004442,Gaming,Preston,4009,United States,US,Entertainment,621,78,,151697000,37900,,455100,7300000,,2012,Jul,4,88.2,,14.7,270663028,37.09024,
273,Ninja,23700000,2543809954,Gaming,Ninja,1732,United States,US,Games,3590,81,,8368000,2100,,25100,401700,,2011,Nov,11,88.2,,14.7,270663028,37.09024,
314,SSundee,22500000,13835173331,Gaming,SSundee,3315,United States,US,Games,261,90,,175094000,43800,,525300,8400000,,2009,Nov,28,88.2,,14.7,270663028,37.09024,
317,FGTeeV,22300000,24059336857,Gaming,FGTeeV,1724,United States,US,Games,77,91,,132110000,33000,,396300,6300000,,2013,May,24,88.2,,14.7,270663028,37.09024,
415,AS Gaming,19600000,2851024430,Gaming,ASGaming,17,United States,US,Games,3857915,7711,,23,0.01,,0.07,1,,2009,Mar,5,88.2,,14.7,270663028,37.09024,
419,Clash of Clans,19600000,3961318438,Gaming,Clash of Clans,674,United States,US,Games,1934,113,,22292000,5600,,66900,1100000,,2013,Jan,31,88.2,,14.7,270663028,37.09024,
468,IShowSpeed,18300000,1556003039,Gaming,IShowSpeed,1324,United States,US,Games,6734,120,,140261000,35100,,420800,6700000,,2016,Mar,21,88.2,,14.7,270663028,37.09024,
515,IGN,17500000,16107116549,Gaming,IGN,156215,United States,US,Games,189,129,,98342000,24600,,295000,4700000,,2006,Sep,19,88.2,,14.7,270663028,37.09024,
516,Aphmau,17400000,17763586483,Gaming,Aphmau,4411,United States,US,Games,152,129,,439870000,110000,,1300000,21100000,,2012,Aug,13,88.2,,14.7,270663028,37.09024,
538,Guava Juice,16900000,9111000228,Gaming,Guava Juice,1910,United States,US,Entertainment,527,134,,10889000,2700,,32700,522600,,2006,Jul,18,88.2,,14.7,270663028,37.09024,
550,CoryxKenshin,16700000,7102965621,Gaming,CoryxKenshin,1693,United States,US,Games,814,135,,105114000,26300,,315300,5000000,,2009,Apr,27,88.2,,14.7,270663028,37.09024,
580,Technoblade,16300000,1656452554,Gaming,Technoblade,989,United States,US,Games,6274,138,,17944000,4500,,53800,861300,,2013,Oct,28,88.2,,14.7,270663028,37.09024,
612,Unspeakable,15900000,9052367553,Gaming,Unspeakable,796,United States,US,People,530,142,,164895000,41200,,494700,7900000,,2016,May,1,88.2,,14.7,270663028,37.09024,
641,Mobile Legends: Bang Bang,15400000,1543608082,Gaming,Mobile Legends: Bang Bang,1647,United States,US,Games,6793,147,,55369000,13800,,166100,2700000,,2016,Jul,14,88.2,,14.7,270663028,37.09024,
